id,id_questao_origem,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,ha_imagem,comentario,simulado_numero
1,[101138],Sistema Financeiro e Regulação,O órgão responsável pelo controle e ﬁscalização dos Planos de Previdência Complementar Aberta e que pode ser acessado pelos indivíduos que queiram informações sobre os produtos disponíveis é:,a CVM - Comissão de Valores Mobiliários.,BACEN - Banco Centra do Brasil.,SUSEP - Superintendência de Seguros Privados.,PREVIC - Superintendência Nacional de Previdência Complementar.,C,NAO,,1
2,[101150],Sistema Financeiro e Regulação,"Segundo a Lei Complementar nº 179, de 24 de fevereiro de 2021, a autonomia legal dada ao Bacen, exigirá maior transparência da instituição, o que poderá ser alcançado por meio de um conjunto de instrumentos, sendo que um deles é que o presidente do Banco Central deverá apresentar, em arguição pública, no primeiro e no segundo semestre de cada ano, relatório de inﬂação e relatório de estabilidade ﬁnanceira, explicando as decisões tomadas no semestre anterior. Este relatório deverá ser apresentado no:",Conselho Monetário Nacional,Superior Tribunal Federal,Comitê de Políticas Monetárias,Senado Federal,D,NAO,,1
3,[102522],Sistema Financeiro e Regulação,"Segundo o Código ANBIMA de Distribuição de Produtos de Investimento, as instituições participantes estão dispensadas de observar os artigos dispostos no Código, na distribuição",da Caderneta de Poupança.,dos Títulos Públicos Federais.,do Fundo de Investimento de Renda Fixa Simples.,do Certiﬁcado de Depósito Bancário.,A,NAO,,1
4,[202502],Sistema Financeiro e Regulação,"Segundo o Código Anbima de Distribuição de Produtos de Investimentos, são considerados produtos de investimentos que devem seguir o código:",fundos de investimento.,fundos de investimentos e carteira administrada.,fundos de pensão.,fundos de pensão e carteira administrada.,A,NAO,,1
5,[102118],Ética e Compliance,"São considerados indícios do crime de lavagem de dinheiro: I – Um cliente private adquire uma debênture com remuneração de 60% CDI com prazo de vencimento em 10 anos. II – Um cliente private compra um bem por R$ 40.000,00 e vende, no mesmo mês, por R$ 200.000,00. Está correto o que se aﬁrma em:","I, apenas.","II, apenas.",I e II.,Nenhuma das duas. 1,C,NAO,,1
6,[102228],Produtos e Investimentos,"Gustavo, diretor da empresa XYZ, comenta a seu irmão Rodrigo, que a sua empresa será comprada pelo dobro do valor que está sendo negociada na bolsa. Com isso, seu irmão liga para o seu corretor Victório, para comprar as ações antes desta notícia ser divulgada ao mercado. Victório, sem questionar nada, executa a ordem de compra. Um mês depois, com a notícia de compra da empresa ocorrendo, Rodrigo liga novamente para seu corretor Victório e solicita a venda das ações pelo dobro do valor adquirido. Victório, novamente sem questionar nada, executa a ordem de venda e ainda o parabeniza pela operação. Após isso, Rodrigo divide o lucro com seu irmão Gustavo. Desta forma, podemos aﬁrmar que:","Os irmãos Gustavo e Rodrigo, e o corretor Victório cometeram crime de insider trading.","Os irmãos Gustavo e Rodrigo cometeram crime de insider trading, e o corretor Victório cometeu uma infração administrativa.","Os irmãos Gustavo e Rodrigo cometeram crime de insider trading, e o corretor Victório não cometeu nem crime e nem infração administrativa.",Não houve nenhuma ilegalidade.,C,NAO,,1
7,[103143],Mercado Financeiro e Economia,A melhor deﬁnição da taxa DI é:,Meta da taxa de juros básica da economia.,"Média ponderada das operações interﬁnanceiras, por 1 dia, lastreadas em títulos públicos federais.",Média das taxas de juros em empréstimos interbancários realizada exclusivamente entre bancos que não são do mesmo grupo ﬁnanceiro.,Taxa de inﬂação atrelada aos preços do varejo.,C,NAO,,1
8,[203134],Mercado Financeiro e Economia,"Uma empresa brasileira recebeu um aporte de capital de um grupo Italiano e utilizou esses recursos para comprar um equipamento na Alemanha. A empresa alemã enviou este maquinário por uma empresa de logística americana, na qual foi cobrado da empresa brasileira a taxa de transporte e os devidos seguros. Além disso, os donos do grupo, solicitaram que os seus salários fossem depositados na Itália. Dentro da Balança de Pagamentos, os valores citados serão lançados da seguinte forma:","Por ser uma operação de compra e venda internacional, todos os valores serão lançados na Balança Comercial.","O aporte Italiano entrará na Conta Financeira. Já os demais valores (da empresa alemã, americana e os devidos salários), serão lançados dentro das Transações Correntes, mais especiﬁcamente, na Balança Comercial.","O aporte Italiano entrará na Conta Financeira, o pagamento para a empresa alemã será lançado na Balança Comercial, o valor para a empresa americana estará na Balança de Serviços e os salários na Balança de Rendas.","Não será lançado em nenhuma conta, pois a receita federal, juntamente com o COAF, considerará esta operação ilegal, pois todos os salários devem ser pagos no Brasil.",C,NAO,,1
9,[203147],Mercado Financeiro e Economia,Um país que tem sua balança comercial superavitária signiﬁca que:,o total de bens exportados são inferiores ao total de bens importados.,o total de bens exportados são superiores ao total de bens importados.,tenha um maior volume de remessas de lucros e juros de empréstimos enviados para o exterior.,tenha um menor volume de remessas de lucros e juros de empréstimos enviados para o exterior. 2,B,NAO,,1
10,[203150],Mercado Financeiro e Economia,"A taxa de câmbio no Brasil, nos últimos meses, apresentou uma valorização do Real em relação ao Dólar Norte-Americano. Tal valorização produziu",redução do déﬁcit da conta turismo e redução da margem de ganho dos exportadores.,aumento do déﬁcit da conta turismo e aumento da margem de ganho dos exportadores.,aumento do déﬁcit da conta turismo e redução da margem de ganho dos exportadores.,redução do déﬁcit da conta turismo e aumento da margem de ganho dos exportadores.,C,NAO,,1
